date,storage
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,
2024-04-02,
2024-04-03,
2024-04-04,595.6460349860565
2024-04-05,595.6460349860565
2024-04-06,595.6460349860565
2024-04-07,595.6460349860565
2024-04-08,595.6460349860565
2024-04-09,595.6460349860565
2024-04-10,595.6460349860565
2024-04-11,554.5753686744188
2024-04-12,554.5753686744188
2024-04-13,554.5753686744188
2024-04-14,554.5753686744188
2024-04-15,554.5753686744188
2024-04-16,554.5753686744188
2024-04-17,554.5753686744188
2024-04-18,507.6588429629157
2024-04-19,507.6588429629157
2024-04-20,507.6588429629157
2024-04-21,507.6588429629157
2024-04-22,507.6588429629157
2024-04-23,507.6588429629157
2024-04-24,507.6588429629157
2024-04-25,631.9902777477242
2024-04-26,631.9902777477242
2024-04-27,631.9902777477242
2024-04-28,631.9902777477242
2024-04-29,631.9902777477242
2024-04-30,631.9902777477242
2024-05-01,631.9902777477242
2024-05-02,735.33823324528
2024-05-03,735.33823324528
2024-05-04,735.33823324528
2024-05-05,735.33823324528
2024-05-06,735.33823324528
2024-05-07,735.33823324528
2024-05-08,735.33823324528
2024-05-09,729.003500656054
2024-05-10,729.003500656054
2024-05-11,729.003500656054
2024-05-12,729.003500656054
2024-05-13,729.003500656054
2024-05-14,729.003500656054
2024-05-15,729.003500656054
2024-05-16,1035.2285857766929
2024-05-17,1035.2285857766929
2024-05-18,1035.2285857766929
2024-05-19,1035.2285857766929
2024-05-20,1035.2285857766929
2024-05-21,1035.2285857766929
2024-05-22,1035.2285857766929
2024-05-23,1084.1189140386234
2024-05-24,1084.1189140386234
2024-05-25,1084.1189140386234
2024-05-26,1084.1189140386234
2024-05-27,1084.1189140386234
2024-05-28,1084.1189140386234
2024-05-29,1084.1189140386234
2024-05-30,1244.8715618856459
2024-05-31,1244.8715618856459
2024-06-01,1244.8715618856459
2024-06-02,1244.8715618856459
2024-06-03,1244.8715618856459
2024-06-04,1244.8715618856459
2024-06-05,1244.8715618856459
2024-06-06,1414.6048416407868
2024-06-07,1414.6048416407868
2024-06-08,1414.6048416407868
2024-06-09,1414.6048416407868
2024-06-10,1414.6048416407868
2024-06-11,1414.6048416407868
2024-06-12,1414.6048416407868
