date,weather_TAVG,weather_TMAX,weather_TMIN,weather_PRCP,weather_SNOW,weather_AWND
2024-03-29,67.05934252202073,72.51093531486833,59.178304680672916,0.2247598404414311,0.0,3.3160959326709682
2024-03-30,63.046993111307685,65.13136458967375,57.08154806606434,0.0,0.0,0.6156231536350392
2024-03-31,64.12199511428612,70.91020412056687,57.314162451592864,0.0,0.0,1.2105113587888554
2024-04-01,63.13774877121069,68.80828915764776,61.04511504270169,0.0,0.0,0.9952314074949655
2024-04-02,66.80178262856522,74.26514457669492,62.86905976764345,0.0,0.0,3.0799472177938827
2024-04-03,62.47382730706919,70.16490749153759,56.96608574907569,0.6453298171522482,0.0,3.841000526372754
2024-04-04,64.6930969980134,71.55873644924314,61.81936224563531,0.0,0.0,5.254058083999763
2024-04-05,68.71533387891658,71.19245351578382,61.86719711482369,0.0,0.0,5.149850211867679
2024-04-06,65.96020798029024,73.84216555393131,60.5185486388708,0.0,0.0,0.972262847521367
2024-04-07,60.34169952225285,66.7893357635274,52.59329059104021,0.0,0.0,5.001896392516321
2024-04-08,60.108735666637514,66.46656337891764,52.333510825826444,0.0,0.0,2.599027140111708
2024-04-09,62.00384876456104,66.30083514032434,55.34108776294466,0.0,0.0,1.9400220098252452
2024-04-10,55.123027639036195,57.57667689651404,52.50070553891543,0.0,0.0,8.475737003675768
2024-04-11,57.035320750648495,61.893000030589036,54.28147101387823,0.0,0.0,1.1838055004978805
2024-04-12,60.59445630152533,62.93097123772185,58.560679342914234,0.0,0.0,8.801467557028209
2024-04-13,58.23866421341108,63.69635121529843,51.63201404457753,0.03426666813537304,0.0,2.15563495351948
2024-04-14,63.91477659824715,70.60932399175461,61.17943627824012,0.0,0.0,2.6352205336782863
2024-04-15,55.753833806247414,60.63783353032248,51.62918393445396,0.0,0.0,1.145610519760372
2024-04-16,53.97061696165938,59.0130814398807,50.62632034201413,0.006854475948119504,0.0,6.176687786263167
2024-04-17,53.94657818847111,57.72175653475353,49.56234787873581,0.0,0.0,0.4426315467534998
2024-04-18,56.1643205711727,58.242546513865996,48.730532175902596,0.0,0.0,1.9653028914629287
2024-04-19,55.14909423492882,59.991502875382594,47.88700174526098,0.0,0.0,1.223029308866478
2024-04-20,61.83480748917078,68.26104111071372,55.69062346247781,0.0,0.0,5.9095710891027
2024-04-21,53.46143132478543,55.80894595930967,48.5590973380854,0.0,0.0,7.580495600755247
2024-04-22,54.340209713590234,61.428044781564864,47.877687193014104,0.0,0.0,3.866439444488718
2024-04-23,56.3507086365298,59.920327848826105,50.02469580708063,0.0,0.0,1.2545759700290418
2024-04-24,52.89883937754604,57.56910085111882,45.56423203023456,0.0,0.0,4.282427639651078
2024-04-25,54.41769068543866,59.34864963564868,48.213235867170354,0.0,0.0,2.9694187547580153
2024-04-26,53.46728818655471,56.61567340005515,50.7769638898555,0.0,0.0,1.37825899470909
