,price,weather_TAVG,weather_TMAX,weather_TMIN,weather_PRCP,weather_SNOW,weather_AWND,storage,HDD,CDD,price_sma5,price_sma20,price_rs,storage_change
2024-04-17,3.168994185286199,53.94657818847111,57.72175653475353,49.56234787873581,0.0,0.0,0.4426315467534998,554.5753686744188,11.053421811528892,0.0,3.2816823884422583,3.5013504824949466,0.9372618950456625,0.0
2024-04-18,3.2531347507657546,56.1643205711727,58.242546513865996,48.730532175902596,0.0,0.0,1.9653028914629287,507.6588429629157,8.835679428827298,0.0,3.2592448742384312,3.4901810120004297,0.9338326187186391,-46.916525711503084
2024-04-19,3.2357898120808244,55.14909423492882,59.991502875382594,47.88700174526098,0.0,0.0,1.223029308866478,507.6588429629157,9.850905765071182,0.0,3.2462520178727794,3.478749005507967,0.9331664954076678,-46.916525711503084
2024-04-20,3.236043143706362,61.83480748917078,68.26104111071372,55.69062346247781,0.0,0.0,5.9095710891027,507.6588429629157,3.165192510829222,0.0,3.230298531972239,3.4655765180152662,0.9321100010864077,-46.916525711503084
2024-04-21,3.1467598918778172,53.46143132478543,55.80894595930967,48.5590973380854,0.0,0.0,7.580495600755247,507.6588429629157,11.53856867521457,0.0,3.2081443567433916,3.4435606963947007,0.9316357804008558,-46.916525711503084
2024-04-22,3.110298567750568,54.340209713590234,61.428044781564864,47.877687193014104,0.0,0.0,3.866439444488718,507.6588429629157,10.659790286409766,0.0,3.1964052332362654,3.4206141867247304,0.9344535977314802,-46.916525711503084
2024-04-23,3.1131555624774228,56.3507086365298,59.920327848826105,50.02469580708063,0.0,0.0,1.2545759700290418,507.6588429629157,8.649291363470198,0.0,3.168409395578599,3.3987028556947365,0.93224077835158,0.0
2024-04-24,3.0402975871763465,52.89883937754604,57.56910085111882,45.56423203023456,0.0,0.0,4.282427639651078,507.6588429629157,12.10116062245396,0.0,3.129310950597703,3.368600905485954,0.9289645874943054,0.0
2024-04-25,3.059041107621349,54.41769068543866,59.34864963564868,48.213235867170354,0.0,0.0,2.9694187547580153,631.9902777477242,10.582309314561343,0.0,3.0939105433807006,3.3373237451447495,0.9270633536473126,124.33143478480855
2024-04-26,3.019204425570483,53.46728818655471,56.61567340005515,50.7769638898555,0.0,0.0,1.37825899470909,631.9902777477242,11.532711813445289,0.0,3.068399450119234,3.3056530918915934,0.9282279068077904,124.33143478480855
2024-04-27,2.997904439927149,54.32962977816766,56.556950265257804,49.433001877591614,0.0,0.0,5.160876815877056,631.9902777477242,10.670370221832343,0.0,3.04592062455455,3.2714796772583,0.9310528950334847,124.33143478480855
2024-04-28,2.9580036825376474,47.13371142212711,51.8005792922682,39.33040211525364,0.20681898051933728,0.0,3.992265816856971,631.9902777477242,17.866288577872893,0.0,3.014890248566595,3.236891395866755,0.9314153241027373,124.33143478480855
2024-04-29,3.0653420129524465,53.32424595008512,56.701405985960804,50.17520469513166,0.0,0.0,4.304714196219388,631.9902777477242,11.675754049914879,0.0,3.019899133721815,3.2092571382894484,0.9409963127265762,124.33143478480855
2024-04-30,3.0607338188124324,50.03335368022108,57.97337197578516,43.6080524212673,0.0,0.0,1.0170579905629094,631.9902777477242,14.966646319778917,0.0,3.020237675960032,3.1808565022232296,0.9495045356019881,0.0
2024-05-01,2.9934728024193404,50.56153575600201,53.07161477199108,46.718145017981584,0.0,0.0,0.8228829074049434,631.9902777477242,14.438464243997991,0.0,3.015091351329803,3.155022574104116,0.955648107267807,0.0
2024-05-02,3.0390271364897945,48.39624154816489,54.577973760863706,45.49077785464555,0.0,0.0,1.5279606908216326,735.33823324528,16.603758451835112,0.0,3.023315890642332,3.1368310342188517,0.9638121587238161,103.34795549755574
2024-05-03,2.9619781568357952,54.09412945283042,61.02460510825165,46.404300905662886,0.8657924781137114,0.0,1.1471473555203648,735.33823324528,10.905870547169577,0.0,3.0241107855019616,3.116663825971397,0.970303810215852,103.34795549755574
2024-05-04,2.9707116118803434,42.54122397686069,47.756557069369634,37.769579466557055,0.0,0.0,4.724164499465624,735.33823324528,22.458776023139308,0.0,3.005184705287541,3.10016170186996,0.9693638572061805,103.34795549755574
